,class,text,n_rt,mention,link,n_emoji,n_char,avg_wrd,emoji,retweet
104,1,amen miley okay but she don t need to act like a hoe just bc she s emotionally damaged foh,0,1,0,1,91,3.55,1,0
105,1,having one loyal female is wayyyyy better than having hoes idc,0,1,0,1,64,4.73,1,0
106,1,pussy licking pussy meow meow,0,1,0,2,31,5.0,1,0
107,1,check out our man cowboysnation even with all those faggot ny fans in the stands,0,1,0,0,81,4.4,0,0
108,1,what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch,0,1,0,0,95,4.0,0,0
109,1,im the bitch okay nudes pat wow,0,1,0,3,32,3.57,1,0
110,0,you re fucking gay blacklisted hoe holding out for tehgodclan anyway xuccwoetmn,0,1,0,0,80,5.67,0,0
111,1,the fuck be wrong with these bitches nobody knows,0,1,0,0,50,4.56,0,0
112,1,yall shut up p make me bitch,0,1,0,0,29,3.14,0,0
113,1,i hate a i m pregnant type of bitch,0,1,0,0,37,3.0,0,0
114,1,got bitches in the dm but i don t ever read em which is y your top,0,1,0,0,68,2.94,0,0
115,2,baseball season for the win yankees this is where the love started,0,1,0,0,67,4.58,0,0
116,1,little stupid as bitch i don t fuck with yoooooouuuu,0,1,0,0,54,4.3,0,0
117,1,she really asked me that dead ass serious tho all i could say was bitch wheet lol,0,1,0,0,82,3.82,0,0
118,2,i m an early bird and i m a night owl so i m wise and have worms,0,1,0,0,66,2.61,0,0
119,2,overdosing on heavy drugs doesn t sound bad tonight i do that pussy shit every day,0,1,0,0,84,4.19,0,0
120,2,pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures,0,1,0,0,85,5.46,0,0
121,1,aw fag don t tweet aw to me lol,0,1,0,0,32,2.56,0,0
122,2,as long as the lakers trash from now on i could careless and that s real cc hahaha,0,1,0,0,83,3.61,0,0
123,1,i didn t say anything tho kiss me then faggot,0,1,0,0,46,3.6,0,0
124,2,this the i play soccer cheat on girls and wear khaki coloured cargos haircut yup,0,1,0,1,81,4.4,1,0
125,1,i could go for a fat ass bitch on my lap same,0,1,0,0,46,2.83,0,0
126,1,missed calls das yo p o bitch twitter finna be screamn freemoneymelle,0,1,0,2,70,4.83,1,0
127,1,ya side bitch gotta know it s rules to this shit anybody ask you my cousin from jersey thinkin bout moving lmmfao,0,1,0,4,115,4.18,1,0
128,1,amo los pies fuck yeah,0,1,0,0,23,3.6,0,0
129,1,these hoes be thinking meat won t slap they ass ainna bruh,0,1,0,2,59,3.92,1,0
130,1,yall bitches wit no edges be doing the most talking,0,1,0,5,53,4.2,1,0
131,1,yall still going trick or treating this year or nah hell yeah ima be da sweet tooth bandit steal bitches bags n shit,0,1,0,0,117,4.09,0,0
132,1,i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck,0,1,0,0,106,3.61,0,0
133,1,if she kiss u with her eyes open watch that bitch lmfao,0,1,0,0,56,3.67,0,0
134,1,you a woulda coulda shoulda ass hoe,0,1,0,2,37,4.14,1,0
135,1,happy bday bitch ass nigga preciate that bitch roll up,0,1,0,0,56,4.5,0,0
136,1,used to send that bitch up,0,1,0,0,28,3.5,0,0
137,1,ugly bitches be like i m my own wcw duh bitch you ain t nobody elses,0,1,0,2,70,3.31,1,0
138,1,nigga you know we hacky sack hoes nah i throw no look passes lmao,0,1,0,0,66,3.71,0,0
139,1,glad i m getting outta atlanta nothing but a bunch of niggas in outta jail dumb bitches with mad kids fuckin em,0,1,0,0,113,4.09,0,0
140,2,this isn t ghetto it s smart i m doing this idc,0,1,0,0,48,3.0,0,0
141,1,i would wife a hoe only cuz we wouldn t care that we cheating in each other why force the relationship in the first place,0,1,0,0,123,3.88,0,0
142,1,being single isn t an excuse to be a hoe,0,1,0,0,42,3.1,0,0
143,1,white boy power bitch black power bitch,0,1,0,0,40,4.71,0,0
144,1,lets get drunk get blowed spit shit spark blunts fuck hoes bro white dudes have no chill,0,1,0,0,90,4.24,0,0
145,1,bitch where u been around the world and back where you been,0,1,0,0,61,4.0,0,0
146,1,if i don t get my dick sucked at yo party by a bad bitch i m fr gone set it off by,0,1,0,4,84,2.61,1,0
147,1,oomf is soooo cute but he probably has hoes on him a lot,0,1,0,0,58,3.38,0,0
148,1,in every cartoon theirs alway a saving these hoes lmao lmao damn captain saveahoe,0,1,0,0,82,4.86,0,0
149,2,who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs,0,1,0,0,100,4.26,0,0
150,1,i wish i was a bitch like my brother keezy ooooow i bet you do,0,1,0,1,63,3.2,1,0
151,1,if you dressed up as a cat for halloween you are basic or a pussy,0,1,0,0,66,3.4,0,0
152,1,can pornhub just get a gaming stream feature so these dumb bitches can gtfo get on it katie,0,1,0,0,93,4.11,0,0
153,1,stop being scared to choke her during sex u bitch ass niggas she ll like it says the guy who hits women out of bed foh,0,1,0,0,119,3.58,0,0
154,1,ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig,0,1,0,0,88,3.63,0,0
155,1,oh man its am you off a molly ho where the fuck ya seed at fixed,0,1,0,0,65,3.06,0,0
156,1,you re not a man if you refer to every girl as a bitch,0,1,0,0,56,2.93,0,0
157,1,lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga,0,1,0,0,92,4.06,0,0
158,2,peel up peel up bring it back up rewind back where i m from they move shaq from the line ooooow who tf said that trash,0,1,0,0,120,3.58,0,0
159,1,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,0,1,0,0,63,4.25,0,0
160,1,naw it s my old tape new cover my upcoming mixtape is kingofthehill yeah i m waiting on that hoe mayne,0,1,0,0,104,3.9,0,0
161,1,ol dirty foot ass bitches this was too funny to me,0,1,0,0,52,3.64,0,0
162,1,that s where i get my yellow flags for being amazing hell yeah niggy,0,1,0,2,69,3.93,1,0
163,1,don t got time for bitches to be actin iffy,0,1,0,0,45,3.4,0,0
164,2,ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut,0,1,0,0,95,5.33,0,0
165,1,these hoes ain t loyal no they ain t smfh wonder why nobody decent wants them,0,1,0,0,78,3.88,0,0
166,1,bruh you studs keep thinking i m soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe,0,1,0,0,125,3.59,0,0
167,1,dry pussy bitches always blame it on the condom,0,1,0,5,49,4.33,1,0
168,1,shut yo bitch ass up,0,1,0,2,22,3.2,1,0
169,1,gucci mane in jail and dropping mixtapes every month and you hoes can t even text back,0,1,0,0,88,4.12,0,0
170,1,you love these hoes more then money wats wrong these niggas,0,1,0,0,61,4.45,0,0
171,1,a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol,0,1,0,0,119,4.67,0,0
172,1,easy cum easy hoe that s a fact,0,1,0,0,33,3.0,0,0
173,1,charlie sheen is too real major fucking respect for charlie sheen,0,1,0,0,67,5.0,0,0
174,1,wish i had a bae you got all the hoes tho,0,1,0,1,42,2.82,1,0
175,1,fuck twerking bitch can you cook,0,1,0,0,34,4.5,0,0
176,1,bitch wtf dasmycxodb,0,1,0,0,21,6.0,0,0
177,1,shut up zoe fight me pussy for zoe i m good man you are good ma am move along now,0,1,0,0,82,3.1,0,0
178,1,lmao fucking snake bitches em,0,1,0,0,30,5.0,0,0
179,1,big booty hoes everywhere sheesh damn,0,1,0,4,39,5.33,1,0
180,2,stay tuned to for an update on the report that will be out weeks bum,0,1,0,0,69,3.6,0,0
181,2,i play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao,0,1,0,0,79,4.57,0,0
182,1,oregon chokes every year get off the field trash ass program rft,0,1,0,0,65,4.42,0,0
183,1,def not cowboy lol terrell owens was the best eagle cowboy ever dude cried like a bitch on tv over romo,1,1,0,0,104,3.95,0,1
184,0,lmfaoooo i hate black people this is why there s black people and niggers,0,1,0,0,74,4.29,0,0
185,1,how could u do this to me bitch potent,0,1,0,0,39,3.33,0,0
186,2,a pissed lad past out i would lick his dirty soles while he slept,0,1,0,0,67,3.71,0,0
187,2,prrskknqrv love frat boy w soft long soles,0,1,0,0,43,4.38,0,0
188,2,sexy lad with hot soles and arches,0,1,0,0,36,4.0,0,0
189,1,nah fam i gotta cheat with the hoes depends on the female i feel,0,1,0,0,65,3.64,0,0
190,2,i got hicks lol,0,1,0,5,16,3.0,1,0
191,1,this new twitter is confusing the shit out of me go back to south america bitch,0,1,0,0,80,4.0,0,0
192,1,toto means ass or vagina i think pussy cause toto santi is like nasty pussy,0,1,0,0,76,4.07,0,0
193,1,but what if he actually does choose the ugly bitch over you her ass must be fat,0,1,0,0,81,3.71,0,0
194,1,bitch couldn t kill my vibe if ya tried dis why i love miley,0,1,0,3,62,3.36,1,0
195,1,i m tired of bitches saying i look mean nigga you big af wear tight shirts and grim everybody,0,1,0,1,95,3.95,1,0
196,2,birds your grandkids may never see thanks to climate change xqmxhkaswt rbitegrnhm climate,0,1,0,0,90,5.92,0,0
197,1,stay beautiful you bitch,0,1,0,0,26,5.25,0,0
198,1,wutkinda r purple ceeeleee man this gurl was jus playin on the stupid hoe track but in still shitted on sum gurls,0,1,0,0,114,4.18,0,0
199,1,money getting taller and bitches getting blurry,0,1,0,0,49,5.86,0,0
200,1,i ain t never seen a bitch so obsessed with they nigga i m obsessed with mine,0,1,0,2,79,3.59,1,0
201,1,kobe stay talking trash but let s not forget i meant to do this one smh,0,1,0,0,73,3.5,0,0
202,0,at least i m not a nigger lmfao,0,1,0,0,32,3.0,0,0
203,1,people always asking me what i m mixed with she a bad asian bitch lol,0,1,0,0,70,3.67,0,0
204,0,ariza is a snake and a coward but at least he isn t a cripple like your hero roach lmaoo,0,1,0,0,89,3.45,0,0
205,2,fosters home for imaginary trash whoa chill that show was everything tf,0,1,0,0,72,5.0,0,0
206,1,i am lowkey tired if you tired be quiet and go to sleep hoe,0,1,0,0,61,3.29,0,0
207,1,stop bringing weird niggers into my mentions cussdjesrk,0,1,0,0,57,6.0,0,0
208,1,we don t love these hoes,0,1,0,2,26,3.17,1,0
209,1,if yo girl cant have homeboys you a ol weak bitch ass nigga,0,1,0,0,61,3.62,0,0
210,1,i think worst advice i gave you was don t be a pussy and speed up lol,0,1,0,0,71,3.12,0,0
211,1,quote this tweet with your favorite animal pussy,0,1,0,0,49,5.12,0,0
212,1,i hate when strippers tell you they re dancers hoe ballet dancers don t pop their pussy to beethoven you a stripper,0,1,0,0,117,4.27,0,0
213,1,"andrewbryant poff has double vision after beers
poff double pussy smh",0,1,0,1,70,5.36,1,0
214,1,when bitches twerk on the computer me in ya in ya damn,0,1,0,2,56,3.58,1,0
215,1,prince this is art ephrwxmbhr nobody takin his bitch,0,1,0,0,54,4.89,0,0
216,2,of welfare government aid is claimed by white people so y all black slander is trash now,0,1,0,0,90,4.24,0,0
217,1,these bitches don t care they just play that role,0,1,0,0,51,4.0,0,0
218,1,it took a while for you to find me but i was hiding in the lime tree dis bitch in da wrong tree bro,0,1,0,0,101,3.17,0,0
219,0,drakes new shoes that will be released by nike jordan yes there s glitter on the shoes qctplxhexm dudes a fag,0,1,0,0,110,4.24,0,0
220,2,inna di ghetto you alone lmaoo,0,1,0,0,31,4.17,0,0
221,2,hoes austin teach us austin i teach u how to get curved that s all i know,0,1,0,0,74,3.35,0,0
222,1,bitches can t cook but know how to suck dick s o to the ones that can do both,0,1,0,0,79,3.11,0,0
223,1,fat hoes get chose lol,0,1,0,0,23,3.6,0,0
224,1,hoesaintloyal well they re hoes no one expects them to be loyal,0,1,0,0,64,4.33,0,0
225,1,ol bitch ass,0,1,0,0,14,3.33,0,0
226,1,bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo,0,1,0,0,91,4.35,0,0
227,1,just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you,0,1,0,0,113,3.91,0,0
228,1,holy shit freddie highmore was in charlie and the chocolate factory me rolls on the floor laughing,0,1,0,0,100,4.82,0,0
229,1,i don t want to have sex with my gf because i feel like i m using her anonymous whata faggot,0,1,0,0,93,3.43,0,0
230,1,one of your followers with this somebody bitch if you don t,0,1,0,2,60,4.0,1,0
231,1,if ya bitch always bitching clearly she care or just an annoying bitch,0,1,0,0,72,4.46,0,0
232,1,these catfish hoes thinkin they slick but niggas catching on,0,1,0,1,62,5.1,1,0
233,1,can t worry about a bitch that ain t worried bout me real,0,1,0,0,58,3.46,0,0
234,1,side hoes are for insecure niggas that can t handle a real one,0,1,0,0,64,3.85,0,0
235,1,rt lmao this bitch come scooting in the tent like she about to fuck some shit up,0,1,0,7,82,3.76,1,0
236,1,my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers,0,1,0,1,99,4.16,1,0
237,1,i m hungry but ionn wanna spend my money on food broke hoe problems,0,1,0,5,69,3.86,1,0
238,1,dese hoes be lyin to all of us nigga,0,1,0,0,38,3.11,0,0
239,1,oh yeah fuck that bitch,0,1,0,0,24,3.8,0,0
240,2,eli manning just threw his nfl leading interception of the season lmao trash,0,1,0,0,77,4.92,0,0
241,2,usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team joosdsubir he s a bitch,0,1,0,0,109,4.45,0,0
242,1,guess what i also have zero time for your mansplaining adios stfu pussy,0,1,0,0,72,4.54,0,0
243,2,chilling sexy scally lad,0,1,0,1,25,5.25,1,0
244,1,i ain t sharing no bitch if you mines you mines,0,1,0,1,49,3.36,1,0
245,1,money only impress the simple broke bitches,0,1,0,0,45,5.29,0,0
246,1,pisces will never be anybody s bitch they don t let people control or change them rigghhht,0,1,0,0,91,4.35,0,0
247,2,tuku ho idk blah blah blah,0,1,0,3,28,3.5,1,0
248,2,i m not mad cuh hahaha suure tuku ho ita,0,1,0,2,42,3.1,1,0
249,1,these hoes is crazy,0,1,0,0,21,4.0,0,0
250,1,you ain t ever gonna be a slice bitch kevin hart,0,1,0,0,50,3.45,0,0
251,1,oomf so fuckin fine tho dam her don t be no bitch,0,1,0,1,51,3.17,1,0
252,1,i wonder if the girl that gave head to boys for a drink in magaluf has twitter she probly sends nudes for fags,0,1,0,0,111,3.83,0,0
253,1,"newsatquestions
yeah bitch yeah bitch call me a maybe
b steve o
c later
d jesse pinkman",0,1,0,0,89,4.18,0,0
254,1,hickies in between her thighs right by her pussy its only right,0,1,0,0,64,4.33,0,0
255,1,would you still love me when i m no longer young and beautiful no ugly monkey ass,0,1,0,0,83,3.82,0,0
256,1,y all come through the front bitch i ain t coming,0,1,0,0,50,3.55,0,0
257,1,faggot bitch,0,1,0,0,14,5.5,0,0
258,1,yea i m on my ipad i don t work this friday let s ball this faggot up i work,0,1,0,0,78,2.85,0,0
259,2,this scally lad would get it,0,1,0,0,29,3.83,0,0
260,0,gerryshalloweenparty halloween was yesterday stupid nigger,0,1,0,0,59,8.83,0,0
261,1,chrus still supahot tho walks up to teacher with test drops test in that bitch fohead,0,1,0,0,87,4.38,0,0
262,1,i love eating pussy lol i never get full lol i can eat that shit forever lol and ever,0,1,0,0,87,3.53,0,0
263,1,no slushes hoes nasty anyway fam them hoes taste like meds,0,1,0,5,60,4.36,1,0
264,1,no slushes hoes nasty anyway fam,0,1,0,2,34,4.5,1,0
265,1,bobby bitch by be getting me live as fuck hell yea i play that hoe before my workout,0,1,0,0,85,3.72,0,0
266,1,yo bitch is gucci mane my bitch a stoner,1,1,0,8,42,3.56,1,1
267,1,i can ride your bitch with no handle bars,0,1,0,0,43,3.67,0,0
268,1,and if you ain t a hoe get up out my traphoussseeeee,0,1,0,0,54,3.42,0,0
269,2,sad tv character deaths we re still bitter over ned stark was the man,0,1,0,0,70,4.0,0,0
270,1,these harbor bitches are all party bus hoes lol all,0,1,0,0,53,4.2,0,0
271,1,pussy love it,0,1,0,0,14,3.67,0,0
272,1,ultraviolence video its coming you little bitch mtvhottest lana del rey bitchy promo,0,1,0,0,85,5.54,0,0
273,1,on my way to fuck your bitch lmfao kittycopter,0,1,0,0,47,4.22,0,0
274,2,a smuggler explains how he helped fighters along the jihadi highway,0,1,0,0,69,5.18,0,0
275,1,aww their avis look so cute together do i gotta get ike avi on this bitch,0,1,0,4,75,3.62,1,0
276,1,its simple dont be a hoe dont worry about being exposed fight me why,0,1,0,1,70,3.93,1,0
277,1,whys this bitch boosting herself her size isn t exactly the most healthy tho,0,1,0,0,77,4.5,0,0
278,1,bet not be no bitches kim bye,0,1,0,7,31,3.29,1,0
279,1,damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco,0,1,0,0,106,4.89,0,0
280,1,i m making marack my girlfriend aye b you pullin hoes just like o taught you,0,1,0,0,77,3.81,0,0
281,1,bruno fag boy you love me,0,1,0,0,27,3.33,0,0
282,1,i must be a bitch you are sike naw this why we always beefing,0,1,0,4,63,3.43,1,0
283,2,down yankees look to rally in the bottom of the rallycap,0,1,0,0,57,4.18,0,0
284,1,don t take advantage of a nice person hoes everyjuan,0,1,0,0,53,4.3,0,0
285,1,happy birthday bitch nigga thanks pal,0,1,0,0,38,5.33,0,0
286,1,sad knowing that most hoes won t fuck with you bc you ain t got stacks wait till friday,0,1,0,0,88,3.63,0,0
287,1,cinco shit harder fucc nigga yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca,0,1,0,0,92,4.11,0,0
288,1,ewww i said that last sunday as in the last sunday i was there read it again nigs,0,1,0,5,83,3.56,1,0
289,1,i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake,0,1,0,0,108,3.86,0,0
290,1,my pussy still fresh something stank girls say,0,1,0,0,48,4.88,0,0
291,1,ass slapping is one the greatest things haha i slapped a girl on the ass she got mad i aint get pussy for a week,0,1,0,1,113,3.52,1,0
292,1,yeah texans are so much better you fucking retard i see that you re mad about this,0,1,0,0,84,3.88,0,0
293,1,nd wtf is up with dark bitches with blonde please have several seats hoe looking like black milds out here,0,1,0,0,107,4.35,0,0
294,1,there s a lane some bitches need to stay in the left n get right the fuck outta our face,0,1,0,4,90,3.45,1,0
295,1,i hate when boys deny that they have bitches smh,0,1,0,2,49,3.9,1,0
296,1,ya nigs out there still saying y all don t eat butt with a straight face,0,1,0,0,74,3.56,0,0
297,1,im a boss ass bitch that needs to sit in a corner,0,1,0,0,50,3.17,0,0
298,1,he s a hoe i can t,0,1,0,0,20,1.71,0,0
299,1,me and paul thinkin bout gettin rentals for da weekend oooh shit bitches betta stay out da streets,0,1,0,3,99,4.5,1,0
300,1,bitches hold they nigga down when he get locked up but if a nigga go to college or the military it s a different story,0,1,0,1,120,3.76,1,0
301,1,why do my friends hate me because you a ratchet hoe,0,1,0,0,53,3.73,0,0
302,1,no love for these fuck niggas hoes,0,1,0,0,36,4.0,0,0
303,1,hot meat sexy as fuck scally lad i would love to meet him and his trainers,0,1,0,0,76,3.69,0,0
304,1,sniff fhhbbrmybn perved up scally lad fuck yeah,0,1,0,0,49,5.0,0,0
305,1,these bitches love sosa,0,1,0,0,25,5.0,0,0
